family	sha256	indicator
benign	d59587f93579682774e3135b49cfa07c5568612521779721632e76ae3865501a	http://www.microsoft.com/pkiops/certs/MicWinProPCA2011_2011-10-19.crt0
benign	d59587f93579682774e3135b49cfa07c5568612521779721632e76ae3865501a	http://www.microsoft.com/pkiops/certs/Microsoft%20Time-Stamp%20PCA%202010(1).crt0
benign	d59587f93579682774e3135b49cfa07c5568612521779721632e76ae3865501a	http://www.microsoft.com/pkiops/crl/MicWinProPCA2011_2011-10-19.crl0a
benign	d59587f93579682774e3135b49cfa07c5568612521779721632e76ae3865501a	http://www.microsoft.com/pkiops/crl/Microsoft%20Time-Stamp%20PCA%202010(1).crl0l
benign	d59587f93579682774e3135b49cfa07c5568612521779721632e76ae3865501a	http://www.microsoft.com/windows0
benign	65fa5db3c388aac18e01075a805dad89b02a4c69297009e9e4bc81d6f66198d0	http://crl.microsoft.com/pki/crl/products/MicRooCerAut_2010-06-23.crl0Z
benign	65fa5db3c388aac18e01075a805dad89b02a4c69297009e9e4bc81d6f66198d0	http://crl.microsoft.com/pki/crl/products/MicTimStaPCA_2010-07-01.crl0Z
benign	65fa5db3c388aac18e01075a805dad89b02a4c69297009e9e4bc81d6f66198d0	http://forefront.microsoft.com/FEP/2010/01/PolicyData
benign	65fa5db3c388aac18e01075a805dad89b02a4c69297009e9e4bc81d6f66198d0	http://www.microsoft.com/PKI/docs/CPS/default.htm0@
benign	65fa5db3c388aac18e01075a805dad89b02a4c69297009e9e4bc81d6f66198d0	http://www.microsoft.com/pki/certs/MicRooCerAut_2010-06-23.crt0
benign	65fa5db3c388aac18e01075a805dad89b02a4c69297009e9e4bc81d6f66198d0	http://www.microsoft.com/pki/certs/MicRooCerAut_2010-06-23.crt0
benign	65fa5db3c388aac18e01075a805dad89b02a4c69297009e9e4bc81d6f66198d0	http://www.microsoft.com/pki/certs/MicTimStaPCA_2010-07-01.crt0
benign	65fa5db3c388aac18e01075a805dad89b02a4c69297009e9e4bc81d6f66198d0	http://www.microsoft.com/pkiops/certs/MicWinProPCA2011_2011-10-19.crt0
benign	65fa5db3c388aac18e01075a805dad89b02a4c69297009e9e4bc81d6f66198d0	http://www.microsoft.com/pkiops/crl/MicWinProPCA2011_2011-10-19.crl0a
benign	65fa5db3c388aac18e01075a805dad89b02a4c69297009e9e4bc81d6f66198d0	http://www.microsoft.com/windows0
benign	65fa5db3c388aac18e01075a805dad89b02a4c69297009e9e4bc81d6f66198d0	http://www.w3.org/2001/XMLSchema
benign	65fa5db3c388aac18e01075a805dad89b02a4c69297009e9e4bc81d6f66198d0	5.1.0.0
benign	e9e08a225fd2b0e405fcdf941ab801a392c730b21a960012af5da583731e2586	http://crl.microsoft.com/pki/crl/products/MicRooCerAut_2010-06-23.crl0Z
benign	e9e08a225fd2b0e405fcdf941ab801a392c730b21a960012af5da583731e2586	http://crl.microsoft.com/pki/crl/products/MicTimStaPCA_2010-07-01.crl0Z
benign	e9e08a225fd2b0e405fcdf941ab801a392c730b21a960012af5da583731e2586	http://www.microsoft.com/PKI/docs/CPS/default.htm0@
benign	e9e08a225fd2b0e405fcdf941ab801a392c730b21a960012af5da583731e2586	http://www.microsoft.com/pki/certs/MicRooCerAut_2010-06-23.crt0
benign	e9e08a225fd2b0e405fcdf941ab801a392c730b21a960012af5da583731e2586	http://www.microsoft.com/pki/certs/MicRooCerAut_2010-06-23.crt0
benign	e9e08a225fd2b0e405fcdf941ab801a392c730b21a960012af5da583731e2586	http://www.microsoft.com/pki/certs/MicTimStaPCA_2010-07-01.crt0
